user_index,timestamp,hips_JNT_x,hips_JNT_y,hips_JNT_z,hips_JNT_xR,hips_JNT_yR,hips_JNT_zR,spine_JNT_xR,spine_JNT_yR,spine_JNT_zR,spine1_JNT_xR,spine1_JNT_yR,spine1_JNT_zR,spine2_JNT_xR,spine2_JNT_yR,spine2_JNT_zR,l_shoulder_JNT_xR,l_shoulder_JNT_yR,l_shoulder_JNT_zR,l_arm_JNT_xR,l_arm_JNT_yR,l_arm_JNT_zR,l_forearm_JNT_xR,l_forearm_JNT_yR,l_forearm_JNT_zR,l_hand_JNT_xR,l_hand_JNT_yR,l_hand_JNT_zR,l_handThumb1_JNT_xR,l_handThumb1_JNT_yR,l_handThumb1_JNT_zR,l_handThumb2_JNT_xR,l_handThumb2_JNT_yR,l_handThumb2_JNT_zR,l_handThumb3_JNT_xR,l_handThumb3_JNT_yR,l_handThumb3_JNT_zR,l_handIndex1_JNT_xR,l_handIndex1_JNT_yR,l_handIndex1_JNT_zR,l_handIndex2_JNT_xR,l_handIndex2_JNT_yR,l_handIndex2_JNT_zR,l_handIndex3_JNT_xR,l_handIndex3_JNT_yR,l_handIndex3_JNT_zR,l_handMiddle1_JNT_xR,l_handMiddle1_JNT_yR,l_handMiddle1_JNT_zR,l_handMiddle2_JNT_xR,l_handMiddle2_JNT_yR,l_handMiddle2_JNT_zR,l_handMiddle3_JNT_xR,l_handMiddle3_JNT_yR,l_handMiddle3_JNT_zR,l_handRing1_JNT_xR,l_handRing1_JNT_yR,l_handRing1_JNT_zR,l_handRing2_JNT_xR,l_handRing2_JNT_yR,l_handRing2_JNT_zR,l_handRing3_JNT_xR,l_handRing3_JNT_yR,l_handRing3_JNT_zR,l_handPinky1_JNT_xR,l_handPinky1_JNT_yR,l_handPinky1_JNT_zR,l_handPinky2_JNT_xR,l_handPinky2_JNT_yR,l_handPinky2_JNT_zR,l_handPinky3_JNT_xR,l_handPinky3_JNT_yR,l_handPinky3_JNT_zR,r_shoulder_JNT_xR,r_shoulder_JNT_yR,r_shoulder_JNT_zR,r_arm_JNT_xR,r_arm_JNT_yR,r_arm_JNT_zR,r_forearm_JNT_xR,r_forearm_JNT_yR,r_forearm_JNT_zR,r_hand_JNT_xR,r_hand_JNT_yR,r_hand_JNT_zR,r_handThumb1_JNT_xR,r_handThumb1_JNT_yR,r_handThumb1_JNT_zR,r_handThumb2_JNT_xR,r_handThumb2_JNT_yR,r_handThumb2_JNT_zR,r_handThumb3_JNT_xR,r_handThumb3_JNT_yR,r_handThumb3_JNT_zR,r_handIndex1_JNT_xR,r_handIndex1_JNT_yR,r_handIndex1_JNT_zR,r_handIndex2_JNT_xR,r_handIndex2_JNT_yR,r_handIndex2_JNT_zR,r_handIndex3_JNT_xR,r_handIndex3_JNT_yR,r_handIndex3_JNT_zR,r_handMiddle1_JNT_xR,r_handMiddle1_JNT_yR,r_handMiddle1_JNT_zR,r_handMiddle2_JNT_xR,r_handMiddle2_JNT_yR,r_handMiddle2_JNT_zR,r_handMiddle3_JNT_xR,r_handMiddle3_JNT_yR,r_handMiddle3_JNT_zR,r_handRing1_JNT_xR,r_handRing1_JNT_yR,r_handRing1_JNT_zR,r_handRing2_JNT_xR,r_handRing2_JNT_yR,r_handRing2_JNT_zR,r_handRing3_JNT_xR,r_handRing3_JNT_yR,r_handRing3_JNT_zR,r_handPinky1_JNT_xR,r_handPinky1_JNT_yR,r_handPinky1_JNT_zR,r_handPinky2_JNT_xR,r_handPinky2_JNT_yR,r_handPinky2_JNT_zR,r_handPinky3_JNT_xR,r_handPinky3_JNT_yR,r_handPinky3_JNT_zR,neck_JNT_xR,neck_JNT_yR,neck_JNT_zR,head_JNT_xR,head_JNT_yR,head_JNT_zR,r_upleg_JNT_xR,r_upleg_JNT_yR,r_upleg_JNT_zR,r_leg_JNT_xR,r_leg_JNT_yR,r_leg_JNT_zR,r_foot_JNT_xR,r_foot_JNT_yR,r_foot_JNT_zR,r_toebase_JNT_xR,r_toebase_JNT_yR,r_toebase_JNT_zR,l_upleg_JNT_xR,l_upleg_JNT_yR,l_upleg_JNT_zR,l_leg_JNT_xR,l_leg_JNT_yR,l_leg_JNT_zR,l_foot_JNT_xR,l_foot_JNT_yR,l_foot_JNT_zR,l_toebase_JNT_xR,l_toebase_JNT_yR,l_toebase_JNT_zR,alignment,speed,precision
1.0,0.0,0.753284,37.9579,0.187442,19.6381,15.9156,-41.7772,7.01771,-0.00662824,0.0,-1.55228,2.11817,-3.17046,-0.0,0.0,0.0,-0.0,0.0,0.0,-26.3928,-1.75727,7.48418,15.6075,-1.0824,-7.88546,-0.0,0.0,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0747,-0.0883547,1.00248,-15.8767,4.69178,0.652518,-20.4424,5.98161,1.07918,-13.6005,4.03527,0.481325,-18.5593,3.64237,0.594788,-23.8825,4.62929,0.979578,-15.9023,3.13664,0.438794,-21.1674,-2.06802,-0.385629,-27.2228,-2.61918,-0.635504,-18.1414,-1.7834,-0.285305,-23.2164,-4.50793,-0.926188,-29.8887,-5.6915,-1.52004,-19.8889,-3.89237,-0.684138,-0.0,0.0,0.0,-44.0823,-9.62992,23.5065,-17.7113,-1.35879,8.7047,6.83019e-06,9.60495e-06,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.26855,0.0242065,0.524885,8.28878,2.47643,-0.185575,10.6613,3.17671,-0.29342,7.1035,2.12462,-0.137056,9.69556,1.92914,-0.163129,12.4688,2.47258,-0.271242,8.30964,1.65565,0.118694,11.0655,-1.09955,0.0969133,14.2282,-1.40795,0.167859,9.48438,-0.944027,0.0791294,12.122,-2.40494,0.253338,15.5914,-3.07697,0.420579,10.3887,-2.06547,0.185575,-1.35488,-2.96808,1.02105,-18.9744,-16.9387,-1.3859,-123.138,-55.6592,-96.2929,153.82,67.6302,-101.924,4.58752,-15.1304,-20.5509,0.420019,-19.9066,2.46547,37.4361,15.0725,17.208,-4.40622,-7.11465,-2.10478,4.97276,19.4464,1.23731,-4.46171,-24.5874,-18.3899,8.0,9.0,10.0
1.0,0.033333,1.00858,38.1777,0.454773,19.519,15.8182,-41.7217,7.01579,-0.00607036,0.0,-1.61094,2.10899,-2.85806,-1.27222e-14,-4.26887e-07,0.0,3.41509e-06,-8.11085e-06,0.0395647,-26.3938,-1.67973,7.15417,15.7904,-1.10932,-7.98663,8.53774e-07,7.95139e-16,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0816,-0.0884751,1.00248,-15.8876,4.6949,0.656107,-20.4565,5.98552,1.08136,-13.6099,4.03797,0.481325,-18.572,3.64477,0.596103,-23.8989,4.63227,0.980377,-15.9132,3.13873,0.438794,-21.1819,-2.06937,-0.387653,-27.2414,-2.62083,-0.635504,-18.1538,-1.78458,-0.285305,-23.2323,-4.51084,-0.927033,-29.9093,-5.69503,-1.52261,-19.9025,-3.89492,-0.681846,3.41509e-06,-8.11085e-06,0.0395647,-43.8835,-9.66378,23.702,-17.7716,-1.34434,8.5828,-2.77476e-06,7.47052e-06,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.275,0.0242658,0.526374,8.29895,2.47944,-0.185575,10.6744,3.18056,-0.298707,7.11221,2.12721,-0.131221,9.70744,1.93148,-0.163129,12.4841,2.47556,-0.271242,8.31983,1.65766,0.111906,11.079,-1.10088,0.104678,14.2456,-1.40964,0.167859,9.496,-0.945173,0.0884693,12.1369,-2.40784,0.256409,15.6105,-3.08065,0.422435,10.4014,-2.06798,0.189746,-1.00836,-2.55062,0.762071,-19.0208,-16.8753,-1.3774,-123.234,-52.2141,-100.565,154.275,68.4151,-112.029,5.77798,-10.2002,-16.3214,0.456508,-20.045,2.7577,37.4838,13.8668,17.2024,-4.38222,-4.40627,-1.87549,5.37058,18.091,1.21561,-4.36937,-25.2315,-18.4303,8.0,9.0,10.0
1.0,0.066666,1.25552,38.4819,0.735381,19.4058,15.7684,-41.6937,7.05843,-0.00561237,0.0,-1.66146,2.09871,-2.53188,1.70755e-06,-1.28066e-06,0.0395647,-1.70755e-06,-7.25708e-06,0.0,-26.4178,-1.6059,6.83437,15.9894,-1.13458,-8.06549,-0.0,1.92099e-06,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0856,-0.0885449,1.00326,-15.8939,4.69671,0.656107,-20.4646,5.98779,1.08208,-13.6153,4.03954,0.482949,-18.5794,3.64616,0.596103,-23.9084,4.63399,0.981973,-15.9195,3.13994,0.438794,-21.1903,-2.07015,-0.385629,-27.2522,-2.62179,-0.635504,-18.161,-1.78526,-0.282548,-23.2415,-4.51252,-0.92872,-29.9212,-5.69707,-1.52312,-19.9104,-3.8964,-0.685281,-1.70755e-06,-7.25708e-06,0.0,-43.7496,-9.70236,23.8726,-17.8404,-1.33085,8.46405,-0.0,0.0,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.27906,0.0243031,0.524885,8.30534,2.48133,-0.181308,10.6826,3.18298,-0.301316,7.11768,2.12883,-0.131221,9.71491,1.93295,-0.158259,12.4937,2.47744,-0.271242,8.32623,1.65893,0.118694,11.0875,-1.10171,0.0969133,14.2566,-1.41071,0.167859,9.5033,-0.945893,0.0791294,12.1462,-2.40967,0.256409,15.6225,-3.08296,0.422435,10.4094,-2.06955,0.185575,-0.729271,-2.29917,0.552491,-18.9822,-16.6355,-1.33293,-122.611,-49.5329,-103.429,154.694,69.4971,-120.153,6.00616,-6.47285,-12.9431,0.479472,-19.7802,2.94626,37.6535,12.1051,17.1426,-4.36751,-0.593219,-1.57168,5.84297,16.1759,1.22779,-4.38101,-25.2552,-18.4554,8.0,9.0,10.0
1.0,0.099999,1.45363,38.8013,0.954986,19.3176,15.7748,-41.7064,7.14948,-0.00480471,0.0395647,-1.70382,2.08752,-2.20503,1.70755e-06,1.70755e-06,0.0,-8.53774e-07,6.83019e-06,0.0,-26.4505,-1.53714,6.53397,16.1619,-1.15351,-8.11091,1.70755e-06,2.13443e-06,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0858,-0.0885476,1.00326,-15.8942,4.69678,0.654913,-20.4649,5.98787,1.08208,-13.6155,4.0396,0.484567,-18.5796,3.64621,0.597414,-23.9088,4.63406,0.981973,-15.9197,3.13998,0.438794,-21.1906,-2.07018,-0.389667,-27.2526,-2.62182,-0.634271,-18.1613,-1.78529,-0.285305,-23.2419,-4.51259,-0.927877,-29.9216,-5.69715,-1.52364,-19.9107,-3.89646,-0.684138,-8.53774e-07,6.83019e-06,0.0,-43.7145,-9.74178,23.9879,-17.903,-1.31976,8.36377,3.62854e-06,0.0,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.27973,0.0243093,0.526374,8.30639,2.48164,-0.185575,10.684,3.18338,-0.296075,7.11858,2.1291,-0.137056,9.71614,1.93319,-0.163129,12.4953,2.47774,-0.271242,8.32728,1.65914,0.111906,11.089,-1.10185,0.111906,14.2584,-1.41088,0.176939,9.50451,-0.946012,0.0884693,12.1478,-2.40997,0.253338,15.6245,-3.08334,0.422435,10.4107,-2.06981,0.193827,-0.547401,-2.2683,0.40926,-18.8729,-16.2164,-1.25303,-121.816,-47.4551,-105.61,155.132,70.6141,-126.796,5.74957,-3.6433,-10.1725,0.491346,-19.5204,3.06604,37.4406,11.695,17.1168,-4.36709,0.231773,-1.50399,6.23975,15.8159,1.23794,-4.41948,-25.361,-18.5319,8.0,9.0,10.0
1.0,0.133332,1.58606,39.0757,1.08052,19.2721,15.8289,-41.7699,7.27432,-0.00454188,0.0,-1.74036,2.07669,-1.89252,-7.95139e-16,-4.26887e-07,0.0395647,-7.95139e-16,-4.26887e-07,0.0395647,-26.4681,-1.47284,6.25675,16.2617,-1.16188,-8.11882,-8.53774e-07,0.0,0.0395647,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0825,-0.0884905,1.00326,-15.889,4.6953,0.656107,-20.4583,5.98602,1.08208,-13.6111,4.03832,0.482949,-18.5736,3.64508,0.596103,-23.901,4.63265,0.981973,-15.9145,3.13899,0.438794,-21.1837,-2.06954,-0.385629,-27.2438,-2.62104,-0.634271,-18.1554,-1.78473,-0.288035,-23.2343,-4.51121,-0.927877,-29.9119,-5.69548,-1.52158,-19.9042,-3.89525,-0.684138,-7.95139e-16,-4.26887e-07,0.0395647,-43.7856,-9.77753,24.0317,-17.9471,-1.3127,8.2989,-2.34788e-06,1.4941e-06,0.0395647,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.27692,0.0242835,0.526374,8.30197,2.48034,-0.185575,10.6783,3.1817,-0.298707,7.1148,2.12798,-0.125115,9.71098,1.93218,-0.167859,12.4886,2.47645,-0.276953,8.32286,1.65826,0.118694,11.0831,-1.10127,0.104678,14.2508,-1.41015,0.172458,9.49946,-0.945514,0.0791294,12.1413,-2.40871,0.253338,15.6162,-3.08174,0.424284,10.4052,-2.06872,0.185575,-0.462166,-2.46473,0.349426,-18.7352,-15.6548,-1.1467,-121.17,-45.8435,-107.525,155.724,71.561,-132.439,5.2092,-1.50777,-7.91065,0.497617,-19.3058,3.14319,37.1381,11.872,17.0379,-4.3686,-0.25316,-1.55566,6.51503,16.1278,1.24676,-4.48478,-25.5528,-18.6582,8.0,9.0,10.0
1.0,0.166665,1.66549,39.2815,1.13449,19.2791,15.9056,-41.8881,7.40014,-0.00397708,0.0,-1.7719,2.06626,-1.61054,1.70755e-06,1.70755e-06,0.0395647,1.70755e-06,2.98821e-06,0.0395647,-26.4429,-1.41076,5.99927,16.2509,-1.15708,-8.09118,-8.53774e-07,4.26887e-07,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0777,-0.0884063,1.00248,-15.8814,4.69312,0.653717,-20.4485,5.98329,1.07991,-13.6045,4.03643,0.481325,-18.5647,3.6434,0.594788,-23.8896,4.63057,0.980377,-15.9069,3.13754,0.438794,-21.1736,-2.0686,-0.383594,-27.2307,-2.61988,-0.635504,-18.1467,-1.78391,-0.285305,-23.2232,-4.50918,-0.926188,-29.8975,-5.69301,-1.52055,-19.8947,-3.89346,-0.682993,1.70755e-06,2.98821e-06,0.0395647,-43.9383,-9.8045,24.0066,-17.9659,-1.3113,8.28123,-3.41509e-06,-3.20165e-06,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.27152,0.0242338,0.524885,8.29346,2.47781,-0.181308,10.6674,3.17848,-0.296075,7.10751,2.12581,-0.125115,9.70103,1.93022,-0.163129,12.4758,2.47395,-0.268341,8.31433,1.65657,-0.125115,11.0717,-1.10016,0.111906,14.2362,-1.40873,0.181308,9.48973,-0.944555,0.0791294,12.1289,-2.40628,0.253338,15.6002,-3.07866,0.422435,10.3945,-2.06663,0.193827,-0.443795,-2.84111,0.338041,-18.6277,-15.0223,-1.03172,-120.759,-44.5773,-109.307,156.489,72.2891,-137.367,4.51849,0.0978665,-6.0687,0.501459,-19.136,3.20093,36.7731,12.5112,16.8835,-4.37332,-1.69009,-1.68186,6.66683,16.872,1.25615,-4.57611,-25.8316,-18.8283,8.0,9.0,10.0
1.0,0.199998,1.72169,39.4332,1.17304,19.3352,15.9713,-42.058,7.48755,-0.00332428,0.0,-1.79872,2.05724,-1.3757,-1.35174e-14,4.26887e-07,0.0,-1.35174e-14,4.26887e-07,0.0,-26.3478,-1.34659,5.74866,16.1078,-1.1384,-8.03201,8.53774e-07,-2.46493e-14,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0742,-0.0883454,1.0017,-15.8759,4.69154,0.654913,-20.4413,5.98131,1.07918,-13.5998,4.03506,0.479697,-18.5583,3.64219,0.594788,-23.8813,4.62906,0.978779,-15.9014,3.13648,0.438794,-21.1663,-2.06792,-0.387653,-27.2213,-2.61905,-0.635504,-18.1405,-1.78331,-0.288035,-23.2152,-4.50771,-0.927033,-29.8871,-5.69123,-1.51952,-19.8878,-3.89217,-0.684138,-1.35174e-14,4.26887e-07,0.0,-44.1203,-9.81723,23.9306,-17.9596,-1.31699,8.31983,-3.41509e-06,2.13443e-07,0.0559529,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.26522,0.024176,0.524885,8.28354,2.47487,-0.176939,10.6546,3.17473,-0.29342,7.09901,2.12328,-0.131221,9.68943,1.92793,-0.167859,12.4609,2.47105,-0.271242,8.30439,1.65461,0.111906,11.0585,-1.09886,0.0969133,14.2192,-1.40708,0.176939,9.47839,-0.943437,0.0791294,12.1143,-2.40345,0.259443,15.5815,-3.07508,0.418713,10.3821,-2.06418,0.185575,-0.438407,-3.30739,0.326259,-18.6116,-14.4075,-0.92872,-120.558,-43.5531,-110.945,157.409,72.804,-141.771,3.76948,1.2847,-4.54318,0.511281,-18.7145,3.24514,36.1943,13.9325,16.6695,-4.38904,-4.65696,-1.92979,6.73346,18.2785,1.23541,-4.69021,-26.1915,-19.0308,8.0,9.0,10.0
1.0,0.233331,1.78138,39.5648,1.24912,19.4236,15.9951,-42.2712,7.50227,-0.00266203,0.0,-1.81914,2.04993,-1.19221,-1.70755e-06,-2.13443e-06,0.0,-1.70755e-06,-2.13443e-06,0.0,-26.1616,-1.27505,5.48334,15.829,-1.10656,-7.9471,8.53774e-07,8.53774e-07,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0752,-0.0883624,1.00248,-15.8774,4.69198,0.654913,-20.4433,5.98186,1.07918,-13.6011,4.03544,0.481325,-18.5601,3.64252,0.594788,-23.8836,4.62948,0.980377,-15.903,3.13677,0.437006,-21.1683,-2.06811,-0.385629,-27.224,-2.61928,-0.633036,-18.1422,-1.78348,-0.285305,-23.2174,-4.50812,-0.925342,-29.89,-5.69173,-1.52055,-19.8897,-3.89253,-0.682993,-1.70755e-06,-2.13443e-06,0.0,-44.2653,-9.81086,23.8312,-17.9338,-1.33058,8.41737,3.20165e-06,-3.62854e-06,0.0,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.2601,0.024129,0.523392,8.27547,2.47248,-0.181308,10.6442,3.17168,-0.296075,7.09209,2.12123,-0.125115,9.68,1.92608,-0.172458,12.4488,2.46868,-0.271242,8.29631,1.65301,0.118694,11.0477,-1.09781,0.0969133,14.2053,-1.40574,0.172458,9.46917,-0.942527,0.0884693,12.1025,-2.40114,0.253338,15.5663,-3.07216,0.418713,10.372,-2.0622,0.185575,-0.384217,-3.75358,0.285305,-18.7342,-13.8957,-0.84857,-120.314,-42.7288,-112.246,158.095,73.3978,-145.407,3.06391,2.27678,-3.24224,0.507208,-18.8493,3.29231,35.6341,15.2168,16.3514,-4.41051,-7.11251,-2.12992,6.7914,19.2531,1.20527,-4.86073,-26.2939,-19.2202,8.0,9.0,10.0
1.0,0.266664,1.85217,39.7059,1.38639,19.5193,15.9587,-42.5163,7.42727,-0.00253328,0.0,-1.83115,2.04475,-1.06311,-1.70755e-06,-4.26887e-07,0.0395647,-5.12264e-06,-1.28066e-06,0.0,-25.8715,-1.19145,5.18432,15.4261,-1.06274,-7.83473,-4.26887e-06,-1.70755e-06,0.0,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.0826,-0.0884922,1.00326,-15.8892,4.69534,0.656107,-20.4585,5.98607,1.08136,-13.6112,4.03835,0.481325,-18.5738,3.64511,0.597414,-23.9012,4.63269,0.981175,-15.9147,3.13902,0.437006,-21.1839,-2.06956,-0.385629,-27.244,-2.62106,-0.635504,-18.1556,-1.78475,-0.29074,-23.2346,-4.51125,-0.927877,-29.9122,-5.69553,-1.52312,-19.9044,-3.89528,-0.682993,-5.12264e-06,-1.28066e-06,0.0,-44.3125,-9.78225,23.7363,-17.8984,-1.35169,8.56782,2.13443e-07,2.13443e-07,0.0395647,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.25807,0.0241104,0.524885,8.27227,2.47153,-0.176939,10.6401,3.17047,-0.29074,7.08935,2.12041,-0.131221,9.67625,1.92534,-0.167859,12.4439,2.46774,-0.268341,8.2931,1.65238,0.118694,11.0435,-1.09739,0.0969133,14.1998,-1.40521,0.167859,9.46551,-0.942166,0.0791294,12.0979,-2.40023,0.256409,15.5603,-3.071,0.41684,10.368,-2.06141,0.185575,-0.231121,-4.07796,0.167859,-19.0136,-13.5477,-0.802102,-120.05,-42.0614,-113.255,158.717,73.9527,-148.568,2.38845,3.03779,-2.10478,0.509691,-18.6953,3.33718,35.3418,15.4647,15.8761,-4.41023,-7.11264,-2.13102,6.88996,18.7905,1.16094,-5.06849,-26.225,-19.3869,8.0,9.0,10.0
1.0,0.299997,1.91756,39.8647,1.57574,19.5975,15.864,-42.7822,7.2686,-0.00233937,0.0,-1.8336,2.04069,-0.974773,2.56132e-06,1.28066e-06,0.0,2.56132e-06,1.28066e-06,0.0,-25.4757,-1.09452,4.83891,14.9211,-1.00821,-7.68749,5.97641e-06,2.56132e-06,0.0395647,4.10661,20.7048,-22.2077,-0.0,0.0,0.0,-10.096,-0.0887272,1.00404,-15.9104,4.70143,0.656107,-20.4859,5.9937,1.08353,-13.6293,4.04363,0.482949,-18.5986,3.64979,0.597414,-23.9332,4.63849,0.981973,-15.9359,3.14309,0.440574,-21.2121,-2.07218,-0.385629,-27.2803,-2.62428,-0.636734,-18.1797,-1.78704,-0.282548,-23.2656,-4.51692,-0.930404,-29.9522,-5.7024,-1.52672,-19.931,-3.90025,-0.685281,2.56132e-06,1.28066e-06,0.0,-44.2259,-9.7307,23.6638,-17.8671,-1.37891,8.75523,2.13443e-07,3.62854e-06,0.0395647,-4.10661,20.7048,22.2077,-0.0,0.0,0.0,5.26009,0.0241289,0.524885,8.27545,2.47248,-0.181308,10.6442,3.17167,-0.296075,7.09208,2.12122,-0.125115,9.67997,1.92607,-0.167859,12.4487,2.46867,-0.271242,8.29629,1.65301,0.118694,11.0477,-1.0978,0.104678,14.2053,-1.40574,0.172458,9.46915,-0.942525,0.0884693,12.1025,-2.40114,0.253338,15.5663,-3.07215,0.418713,10.372,-2.06219,0.185575,0.0465877,-4.21033,0.0,-19.4303,-13.3894,-0.789314,-119.684,-41.5536,-113.96,159.203,74.5244,-151.25,1.74861,3.61739,-1.09788,0.51186,-18.5242,3.38169,34.9892,15.8225,15.3278,-4.40764,-7.11394,-2.11406,7.0076,18.187,1.09574,-5.3073,-25.9718,-19.5192,8.0,9.0,10.0
